RX Date/Time,Group/Time,Group/New Plot
2025/11/16 23:44:46::310,665180379,228.098
2025/11/16 23:44:46::311,665180382,238.576
2025/11/16 23:44:46::311,665180384,247.442
2025/11/16 23:44:46::311,665180387,252.278
2025/11/16 23:44:46::311,665180390,257.114
2025/11/16 23:44:46::311,665180392,261.144
2025/11/16 23:44:46::311,665180395,265.174
2025/11/16 23:44:46::312,665180397,267.592
2025/11/16 23:44:46::312,665180400,269.204
2025/11/16 23:44:46::312,665180403,271.622
2025/11/16 23:44:46::312,665180405,272.428
2025/11/16 23:44:46::312,665180408,283.712
2025/11/16 23:44:46::312,665180411,274.040
2025/11/16 23:44:46::312,665180413,275.652
2025/11/16 23:44:46::312,665180416,281.294
2025/11/16 23:44:46::312,665180419,278.070
2025/11/16 23:44:46::312,665180421,278.070
2025/11/16 23:44:46::312,665180424,278.070
2025/11/16 23:44:46::312,665180426,278.876
2025/11/16 23:44:46::312,665180429,278.876
2025/11/16 23:44:46::313,665183377,238.576
2025/11/16 23:44:46::314,665183380,245.830
2025/11/16 23:44:46::314,665183382,253.084
2025/11/16 23:44:46::314,665183385,258.726
2025/11/16 23:44:46::314,665183388,267.592
2025/11/16 23:44:46::314,665183390,270.816
2025/11/16 23:44:46::314,665183393,270.816
2025/11/16 23:44:46::314,665183395,272.428
2025/11/16 23:44:46::314,665183398,273.234
2025/11/16 23:44:46::314,665183401,274.846
2025/11/16 23:44:46::315,665183403,275.652
2025/11/16 23:44:46::315,665183406,275.652
2025/11/16 23:44:46::315,665183409,277.264
2025/11/16 23:44:46::315,665183411,278.070
2025/11/16 23:44:46::315,665183414,278.070
2025/11/16 23:44:46::315,665183417,278.876
2025/11/16 23:44:46::315,665183419,278.876
2025/11/16 23:44:46::315,665183422,278.876
2025/11/16 23:44:46::315,665183424,278.876
2025/11/16 23:44:46::315,665183427,274.040
2025/11/16 23:44:46::316,665186398,243.412
2025/11/16 23:44:46::317,665186400,253.890
2025/11/16 23:44:46::317,665186403,257.920
2025/11/16 23:44:46::317,665186406,261.950
2025/11/16 23:44:46::317,665186408,260.338
2025/11/16 23:44:46::317,665186411,267.592
2025/11/16 23:44:46::317,665186413,270.010
2025/11/16 23:44:46::317,665186416,272.428
2025/11/16 23:44:46::317,665186419,274.846
2025/11/16 23:44:46::317,665186421,274.846
2025/11/16 23:44:46::317,665186424,275.652
2025/11/16 23:44:46::318,665186427,278.070
2025/11/16 23:44:46::318,665186429,278.070
2025/11/16 23:44:46::318,665186432,278.876
2025/11/16 23:44:46::318,665186435,278.876
2025/11/16 23:44:46::318,665186437,274.040
2025/11/16 23:44:46::318,665186440,278.876
2025/11/16 23:44:46::318,665186442,274.846
2025/11/16 23:44:46::318,665186445,281.294
2025/11/16 23:44:46::318,665186448,281.294
2025/11/16 23:44:46::319,665189409,238.576
2025/11/16 23:44:46::320,665189411,245.830
2025/11/16 23:44:46::320,665189414,253.084
